Type,Category,Question,Best Answer,Correct Answers,Incorrect Answers
MMLU,anatomy,The best place to listen to the general heart sound with a stethoscope is the?,fifth left intercostal space in the midclavicular line.,fifth left intercostal space in the midclavicular line.,second left intercostal space one inch from the sternum.; third left rib at its junction with the sternum.; sternum midway between the sternal angle and xiphisternum.
MMLU,anatomy,Emissary veins connect the intracranial venous sinuses to?,All of the above areas.,All of the above areas.,veins draining the scalp.; veins draining the eye.; the pterygoid venous plexus.
MMLU,anatomy,Smooth muscle cells contain?,actin and myosin arranged irregularly.,actin and myosin arranged irregularly.,actin but not myosin.; myosin but not actin.; actin and myosin arranged in parallel arrays.
MMLU,anatomy,"Which of the following controls body temperature, sleep, and appetite?",Hypothalamus.,Hypothalamus.,Adrenal glands.; Pancreas.; Thalamus.
MMLU,anatomy,Which one of the following is brought about by activation of sympathetic nerves?,Dilation of the pupil of the eye.,Dilation of the pupil of the eye.,Contraction of bronchial smooth muscle.; Increase in intestinal secretion.; Decrease in heart rate.
MMLU,anatomy,The trachea?,lies superficial to the oesophagus.,lies superficial to the oesophagus.,lies deep to the oesophagus.; is totally enclosed by cartilaginous rings.; divides at the thoracic inlet.
MMLU,anatomy,Pharyngeal mucosa is innervated by the glossopharyngeal nerves because it develops from the?,third pharyngeal arch.,third pharyngeal arch.,first pharyngeal arch.; second pharyngeal arch.; fourth pharyngeal arch.
MMLU,anatomy,A patient is most likely to experience pain due to infection of the ethmoidal air cells sinus?,between the eyes.,between the eyes.,at the base of the skull.; on the forehead.; in the cheeks.
MMLU,astronomy,You cool a blackbody to half its original temperature. How does its spectrum change?,"Power emitted is 1/16 times as high, peak emission wavelength is 2 times longer.","Power emitted is 1/16 times as high, peak emission wavelength is 2 times longer.","Power emitted is 1/16 times as high, peak emission wavelength is 1/2 as long.; Power emitted is 1/4 times as high, peak emission wavelength is 2 times longer.; Power emitted is 1/4 times as high, peak emission wavelength is 1/2 as long."
MMLU,astronomy,What drives differentiation?,The minimization of gravitational potential energy.,The minimization of gravitational potential energy.,Spontaneous emission from radioactive atoms.; Thermally induced collisions.; Plate tectonics.
MMLU,astronomy,How did the lunar maria form?,Large impacts fractured the Moon's lithosphere allowing lava to fill the impact basins.,Large impacts fractured the Moon's lithosphere allowing lava to fill the impact basins.,The giant impact that created the Moon left smooth areas that we call the maria.; Volatiles escaping from the Moon's interior heated and eroded the surface in the regions of the maria.; The early bombardment created heat that melted the lunar surface in the regions of the maria.
MMLU,astronomy,Why doesn't Venus have seasons like Mars and Earth do?,Its rotation axis is nearly perpendicular to the plane of the Solar System.,Its rotation axis is nearly perpendicular to the plane of the Solar System.,It does not have an ozone layer.; It does not rotate fast enough.; It is too close to the Sun.
MMLU,astronomy,The mass of Saturn's rings is 2x1019 kg. What is the ratio of this mass to that of a 200 km diameter spherical moon made entirely of water-ice (density ~ 1 g/cm3)? That is what is Mrings : Micy moon?,5 : 1.,5 : 1.,1 : 1.; 50 : 1.; 0.5 : 1.
MMLU,astronomy,Which mechanism can NOT explain Mercury's lack of a permanent atmosphere?,Volcanic Heating.,Volcanic Heating.,Impact Heating.; Ablation by the solar wind.; Thermal Escape.
MMLU,astronomy,Which property of our solar system does a formation theory NOT need to explain?,the presence of life on Earth.,the presence of life on Earth.,patterns of motion.; the presence of asteroids and comets.; the measured ages of meteorites.
MMLU,astronomy,What dangers are currently faced by each Mars Exploration Rover?,"Opportunity may not be able to move its arm again, Spirit may not get enough solar power during the winter months immediately ahead.","Opportunity may not be able to move its arm again, Spirit may not get enough solar power during the winter months immediately ahead.","Opportunity may not be able to drive out of Victoria Crater due to its broken sixth wheel, Spirit's instruments are being corroded by the acidic hot spring environment it is exploring.; Opportunity may not be able to move its arm again, Spirit may not be able to drive out of Victoria Crater due to its broken sixth wheel.; Opportunity may not be able to drive out of Victoria Crater due to its broken sixth wheel, Spirit may not get enough solar power during the winter months immediately ahead."
MMLU,astronomy,The reason that small planets tend to lose interior heat faster than larger planets is essentially the same as the reason that ________.,a large baked potato takes longer to cool than a small baked potato.,a large baked potato takes longer to cool than a small baked potato.,Earth contains more metal than the Moon.; thunderstorms tend to form on hot summer days.; gas bubbles form and rise upward in boiling water.
MMLU,astronomy,If the Moon is setting at noon the phase of the Moon must be?,third quarter.,third quarter.,waning crescent.; waxing crescent.; full.
MMLU,astronomy,In astronomy the concept of black bodies is very important to better calculate the radiation of stars. Which one is the correct definition of a black body?,An idealized physical object that absorbs all electromagnetic radiation.,An idealized physical object that absorbs all electromagnetic radiation.,An idealized physical object that reflects all electromagnetic radiation.; An idealized physical object that reflects all polarized radiation.; An idealized physical object that absorbs all polarized radiation.
MMLU,astronomy,The Coriolis effect is observed on planets because?,they are rotating and spherical so different latitudes rotate at different speeds (meters/second).,they are rotating and spherical so different latitudes rotate at different speeds (meters/second).,their surfaces rotate at the same speed (meters/second) at all latitudes.; they rotate and have magnetic fields.; the solar wind interacts with their magnetospheres.
MMLU,astronomy,The International Space Station (ISS) circles the Earth approximately 410 km above the ground. Find the best estimate for the orbital speed of the ISS:?,28000 km/h.,28000 km/h.,19000 km/h.; 21000 km/h.; 32000 km/h.
MMLU,astronomy,Which is the least likely cause of death?,Being hit by a small meteorite.,Being hit by a small meteorite.,Being hit in the head by a bullet.; Starvation during global winter caused by a major impact.; Driving while intoxicated without wearing seatbelts.
MMLU,astronomy,How have we been able to construct detailed maps of surface features on Venus?,by using radar from spacecraft that were sent to orbit Venus.,by using radar from spacecraft that were sent to orbit Venus.,by studying Venus from Earth with powerful optical telescopes.; by landing spacecraft on the surface for close-up study.; by studying Venus with powerful optical telescopes on spacecraft that were sent to orbit Venus.
MMLU,astronomy,A comet’s tail points in the following direction:?,away from the Sun.,away from the Sun.,towards the Sun.; in the direction of movement.; against the direction of movement.
MMLU,business_ethics,Disqualification of directors may result from breaches under the?,Companies Act 2006 and Insolvency Act 1986.,Companies Act 2006 and Insolvency Act 1986.,Sale of Goods Act 1979.; Financial Services Act 1986.; Health and Safety at Work Act 1974.
MMLU,business_ethics,"In a global context, many companies have significant ______ power due to their ability to threaten governments, in the face of ________ with relocation to other territories, which Beck (1998) describes as 'corporate power of _______.","Political, Undesirable regulation, Transnational withdrawal.","Political, Undesirable regulation, Transnational withdrawal.","Economic, Commercial competition, Social sanction.; Social, Commercial competition, Social sanction.; Social, Undesirable regulation, Transnational withdrawal."
MMLU,business_ethics,Ethics of duty is a principle based ethical theory attributed to Emmanuel Kant.,"1,3.","1,3.","2,3.; 1,2.; 1,2,3."
MMLU,business_ethics,"While businesses traditionally engaged in civil society through ______, recently more business-________ collaboration have emerged in order to tackle social and environmental problems. Likewise, CSO's strategies have evolved with an increasing number setting up _________, which are more commercially orientated then traditional charity models.","Philanthropy, CSO, Social enterprises.","Philanthropy, CSO, Social enterprises.","Philanthropy, Government, Lobbying groups.; Advertising campaigns, CSO, Lobbying groups.; Advertising campaigns, Government, Social enterprises."
MMLU,business_ethics,"The relationship between shareholders and the company, or so called ________, describes shareholders as _________ and managers of the company as ________.","Agency relation, Principal, Agents.","Agency relation, Principal, Agents.","Agency relation, Agent, Principals.; Stakeholder management, Agent, Principals.; Stakeholder management, Principal, Agents."
MMLU,business_ethics,Executive directors are responsible for running the firm.,"1,4.","1,4.","1,3.; 2,3.; 1,2,3."
MMLU,business_ethics,Subjection to emotional exploitation.,"1,3,4.","1,3,4.","1,2,4.; 2,3,4.; 1,2,3,4,5."
MMLU,business_ethics,The recent global sustainability agenda has been dominated by which of the following organisations sustainability goals?,United Nations 'Sustainable Development Goals'.,United Nations 'Sustainable Development Goals'.,Marks & Spencer's 'Plan A'.; The Alibaba Group's 'Sustainability Initiatives'.; Unilever's 'Sustainable Living Plan'.
MMLU,business_ethics,The OECD argues that corporate governance problems arise because:?,Ownership and control is separated.,Ownership and control is separated.,Managers always act in their own self interest.; Profit maximization is the main objective of organizations.; Stakeholders have differing levels of power.
MMLU,business_ethics,What is meant by the phrase CSR?,Corporate Social Responsibility.,Corporate Social Responsibility.,Company Social Responsibility.; Corporate Society Responsibility.; Company Society Responsibility.
MMLU,business_ethics,"______, ________ and _______ are all factors which can impinge upon stakeholder communication and collaboration.","Resource intensity, Culture clash, Accountability.","Resource intensity, Culture clash, Accountability.","Resource clash, Culture intensity, Accountability.; Resource intensity, Culture clash, Coordinative fluidity.; Resource clash, Culture clash, Coordinative fluidity."
MMLU,clinical_knowledge,Type I muscle fibres have the following characteristics:?,"red, oxidative, slow contracting.","red, oxidative, slow contracting.","white, glycolytic, slow contracting.; white, oxidative, slow contracting.; red, oxidative, fast contracting."
MMLU,clinical_knowledge,Mr Wood has just returned from surgery and has severe internal bleeding. Which of the following observations would you NOT expect to find on undertaking post-operative observations?,Bradycardia.,Bradycardia.,Hypotension.; Confusion.; Tachypnoea.
MMLU,clinical_knowledge,Which of the following represents Cushing's response?,"High blood pressure, bradycardia.","High blood pressure, bradycardia.","Low blood pressure, tachycardia.; High blood pressure, tachycardia.; Low blood pressure, bradycardia."
MMLU,clinical_knowledge,How many 'true' movements are available at the hip?,6.,6.,4.; 5.; 7.
MMLU,clinical_knowledge,"For patients with asthma, how many times a day should a peak flow reading be taken?",Twice a day.,Twice a day.,Daily.; Three times a week.; Once a week.
MMLU,clinical_knowledge,Which of the following is incorrect?,Dentures should be stored dry.,Dentures should be stored dry.,Dentures should be removed at night.; Dentures should be cleaned on removal from mouth.; Dentures should be stored in a named pot.
MMLU,clinical_knowledge,Why might you choose to use a silicone catheter (as of 2020 medical knowledge)?,Because the patient is allergic to latex.,Because the patient is allergic to latex.,Because the patient does not like the others.; Because there are no other kinds of catheter at your disposal.; Because it is cheaper.
MMLU,clinical_knowledge,The recommended dose of creatine to load the muscles of a 70 kg man within one week is:?,20 g/day.,20 g/day.,2 g/day.; 5 g/day.; 10 g/day.
MMLU,clinical_knowledge,The coding sequences of genes are called:?,exons.,exons.,extrons.; introns.; codons.
MMLU,clinical_knowledge,Which of the following is true with regards to the anatomy involved in the rectal examination?,The cervix can sometimes be felt anteriorly in the female.,The cervix can sometimes be felt anteriorly in the female.,The sacrum is palpated anteriorly.; The pubic bone is palpated anteriorly in both sexes.; In the male the testes can be appreciated anteriorly.
MMLU,clinical_knowledge,Using a large volume spacer will improve the deposition of medication by:?,40-60%.,40-60%.,10-15%.; 99-100%.; 30-40%.
MMLU,clinical_knowledge,Which one of the following is not a use for intravenous infusions?,To orally hydrate a patient.,To orally hydrate a patient.,Administer prescribed intravenous fluid.; Administer dyes or contrast media for radiographic examinations.; Administer prescribed blood products.
MMLU,clinical_knowledge,"During exercise, adrenaline secretion from the adrenal glands is stimulated by:?",increased sympathetic nerve activity.,increased sympathetic nerve activity.,increased plasma glucose.; increased plasma fatty acids.; increased plasma ACTH.
MMLU,clinical_knowledge,Which of the following is true of blackouts and dizziness?,Confusion following a blackout is strongly suggestive of a fit.,Confusion following a blackout is strongly suggestive of a fit.,Pre-syncope is another term for a blackout.; An epileptic fit always leads to the loss of consciousness.; In the investigation of a blackout a blood sugar estimation is of no value.
MMLU,clinical_knowledge,Which of the following is true about abdominal pain?,The pain of oesophagitis is usually retrosternal in site.,The pain of oesophagitis is usually retrosternal in site.,Peptic ulcer pain is usually experienced in the hypogastrium.; The pain of irritable bowel syndrome is usually well localised.; The pain of pancreatitis usually radiates to the groin.
MMLU,clinical_knowledge,The following are features of Alzheimer's disease except:?,drowsiness.,drowsiness.,short-term memory loss.; confusion.; poor attention.
MMLU,clinical_knowledge,Which of the following is true about radial nerve palsy?,It leads to wrist drop.,It leads to wrist drop.,The radial nerve arises from the lateral cord of the brachial plexus.; It is associated with sensory loss over the medial half of the hand.; It can occur due to a superficial laceration over the wrist.
MMLU,clinical_knowledge,How can several different proteins be produced from the same gene?,"The primary transcripts of many genes can be spliced in various ways to produce different mRNAs, a process known as alternative RNA splicing.","The primary transcripts of many genes can be spliced in various ways to produce different mRNAs, a process known as alternative RNA splicing.",By selective transcription of different parts of the DNA in the gene.; By doubling or tripling the length of the mRNA molecule produced from the primary transcript.; By splicing of the mRNA molecule after it has been formed from the primary transcript.
MMLU,clinical_knowledge,How long can a long-term catheter stay in situ?,12 weeks.,12 weeks.,4 weeks.; 7 weeks.; 20 weeks.
MMLU,clinical_knowledge,Stridor is described as:?,A high-pitched sound.,A high-pitched sound.,A wheezing sound.; A gurgling sound.; A rattling sound.
MMLU,clinical_knowledge,What is cardiac output?,Stroke volume × heart rate.,Stroke volume × heart rate.,Systemic vascular resistance × heart rate.; Blood pressure × heart rate.; Preload × stroke volume.
MMLU,clinical_knowledge,Which of the following is true about the assessment of gait?,An antalgic gait is caused by a painful leg.,An antalgic gait is caused by a painful leg.,A stamping gait is caused by bilateral foot drop.; A waddling gait is sometimes called a steppage gait.; An apraxic gait is due to hysteria.
MMLU,clinical_knowledge,What should be done after catheterization is carried out?,Document catheterization in the patient's notes.,Document catheterization in the patient's notes.,The patient should be thanked.; The patient should be advised when to drink.; The patient should be washed.
MMLU,clinical_knowledge,In a patient with chest pain which of these features is most suggestive of a myocardial infarction?,Sweating and vomiting.,Sweating and vomiting.,Very severe pain.; Pain has lasted for over a week.; Pain is sharp like a knife.
MMLU,clinical_knowledge,In the assessment of visual fields which of the following is true?,An enlarged blind spot may occur because of papilloedema.,An enlarged blind spot may occur because of papilloedema.,A lesion at the optic chiasma leads to a homonymous hemianopia.; Impulses from the retinal leave the eye via the optic radiation.; The visual field examination maps out a patient's central vision.
MMLU,clinical_knowledge,Who set the world record for the mile race in 1886?,WG George.,WG George.,R Bannister.; S Coe.; J DiMaggio.
MMLU,clinical_knowledge,What is erythema?,Redness of the skin due to congestion of the capillaries.,Redness of the skin due to congestion of the capillaries.,Inflammation of the sweat glands.; A form of skin infection.; Redness of the skin caused by pressure.
MMLU,clinical_knowledge,"When branched chain amino acids are deaminated in muscle, the ammonia produced is mostly:?",converted into alanine and glutamine and released from the muscle.,converted into alanine and glutamine and released from the muscle.,converted into arginine and released from the muscle.; converted into urea and released from the muscle.; used to synthesise purines and pyrimidines in the muscle.
MMLU,clinical_knowledge,Which of the following is true regarding the examination of the legs?,The root value of toe extension is L5.,The root value of toe extension is L5.,"Sustained clonus occurs with hypotonia.; Clonus can only be demonstrated at the ankle.; The root value of hip flexion is L4, L5."
MMLU,college_biology,Which of the following is the most direct cause of polyteny in somatic cells of certain organisms?,Chromosome replication without cell division.,Chromosome replication without cell division.,RNA transcription.; Supercoiling of chromatin.; Chromosome recombination.
MMLU,college_biology,All of the following statements about muscle contraction are true EXCEPT:?,Calcium-tropomyosin binding precedes actin-myosin binding.,Calcium-tropomyosin binding precedes actin-myosin binding.,The ends of actin filaments move closer together.; The length of myosin filaments does not change.; Calcium-troponin binding precedes actin-myosin binding.
MMLU,college_biology,Short-term changes in plant growth rate mediated by the plant hormone auxin are hypothesized to result from?,increased extensibility of the walls of affected cells.,increased extensibility of the walls of affected cells.,loss of turgor pressure in the affected cells.; suppression of metabolic activity in affected cells.; cytoskeletal rearrangements in the affected cells.
MMLU,college_biology,"RNA is thought to have played an important role in the evolution of life for which of the following reasons?
I. It occurred in great quantities on early Earth.
II. It can self-replicate via a complementary chain.
III. It can catalyze some cellular functions.",II and III.,II and III.,I only.; II only.; III only.
MMLU,college_biology,"An organism with a lobed thallus, rhizoids, and gemmae is a?",liverwort.,liverwort.,moss.; fern.; mushroom.
MMLU,college_biology,"One hypothesis posed by evolutionary biologists to account for an organism's altruistic behavior in social groups is that of kin selection. According to the kin selection theory, the risk incurred by a bird that sounds an alarm call due to a nearby predator may be offset by the fact that?",the alarm call will benefit those members with whom the bird shares a percentage of its genes.,the alarm call will benefit those members with whom the bird shares a percentage of its genes.,the alarm call induces the predator to abandon its hunt.; the alarm call allows the bird to gain protection at the center of a flock.; the bird will gain the same early warning advantage from another member of the flock at a future time.
MMLU,college_biology,"A plant that possesses swimming sperm, xylem with tracheids, independent gametophyte and sporophyte phases, and no seeds is probably most closely related to?",ferns.,ferns.,mosses.; pines.; liverworts.
MMLU,college_biology,Which of the following is NOT a characteristic of an oligotrophic lake?,Shallow water.,Shallow water.,Low nutrient levels.; High altitudes.; Sand or gravel bottom.
MMLU,college_biology,Evidence that sea urchins are more closely related to frogs than they are to snails is that echinoderms and chordates share which of the following embryological features?,The pore that forms the mouth develops after the pore that forms the anus.,The pore that forms the mouth develops after the pore that forms the anus.,An embryonic notochord disappears by the adult stage.; Larvae undergo metamorphosis.; Early embryos are unable to compensate for missing cells.
MMLU,college_biology,Which of the following is NOT a correct statement concerning elastin?,It is a globular protein found in connective tissue.,It is a globular protein found in connective tissue.,It is a component of large blood vessels.; Its secondary structure consists primarily of alpha helices.; It is secreted into the extracellular matrix of tissues.
MMLU,college_biology,"In cloning experiments on the frog Xenopus laevis, nuclei were removed from intestinal cells of tadpoles and transplanted into zygotes whose nuclei had been removed. A small percent of these zygotes developed into normal frogs, suggesting that?",the genomes of all somatic cells are equivalent.,the genomes of all somatic cells are equivalent.,intestinal cells can be transformed into all cell types.; frogs do not have the same developmental constraints as other species.; intestinal cell nuclei are highly specialized.
MMLU,college_biology,Which of the following sets of reactions occurs in the stroma of the chloroplast in plant cells?,Calvin cycle.,Calvin cycle.,Krebs cycle.; Fermentation.; Decarboxylation.
MMLU,college_biology,Which of the following provides visual evidence of genetic recombination during meiosis?,Chiasmata.,Chiasmata.,Centromeres.; Synaptonemal complexes.; Haploid nuclei.
MMLU,college_biology,Which of the following occurred first during the separation of the elements of Pangaea through continental drift?,Gondwana and Laurasia were formed.,Gondwana and Laurasia were formed.,Africa separated from South America.; India collided with Eurasia to form the Himalayan mountain chain.; Australia separated from the rest of the continental landmasses.
MMLU,college_biology,Which of the following traits do prokaryotes and eukaryotes have in common?,Replication is bidirectional.,Replication is bidirectional.,A single chromosome carries the entire genome.; Chromosomes are circular.; Molecular weight of respective DNA is comparable.
MMLU,college_biology,All of the following are required procedures in order to clone specific mRNA molecules EXCEPT?,cleaving the full genome of a cell into fragments.,cleaving the full genome of a cell into fragments.,extracting mRNA from cells.; creating a cDNA molecule.; converting single-stranded cDNA into double-stranded cDNA.
MMLU,college_chemistry,Which of the following is true for Br2 at standard temperature and pressure?,It is a red-brown volatile liquid.,It is a red-brown volatile liquid.,It is a colorless gas.; It is a colorless volatile liquid.; It is a yellow metallic solid.
MMLU,college_chemistry,The 13C spectrum of which isomer of C6H14 has lines with three distinct chemical shifts?,hexane.,hexane.,"2-methylpentane.; 3-methylpentane.; 2,3-dimethylbutane."
MMLU,college_chemistry,The Rydberg equation v = R_H(1/n_1^2 - 1/n_2^2) accurately predicts the UV-visible emission spectrum of the hydrogen atom. A form of the Rydberg equation may also be used to predict the UV-visible emission for all of the following EXCEPT?,"hydride ion, H−.","hydride ion, H−.","deuterium atom, D.; tritium atom, T.; helium cation, He+."
MMLU,college_chemistry,Reduction of D-xylose with NaBH4 yields a product that is a?,meso compound.,meso compound.,racemic mixture.; single pure enantiomer.; mixture of two diastereomers in equal amounts.
MMLU,college_chemistry,Calculate the polarization of a proton in a magnetic field of 335 mT and 10.5 T at 298 K.,"4.126 x 10^-3 at 0.335 T, 2.142 x 10^-6 at 10.5 T.","4.126 x 10^-3 at 0.335 T, 2.142 x 10^-6 at 10.5 T.","6.345 x 10^-4 at 0.335 T, 9.871 x 10^-5 at 10.5 T.; 0.793 x 10^-4 at 0.335 T, 6.931 x 10^-7 at 10.5 T.; 1.148 x 10^-6 at 0.335 T, 3.598 x 10^-5 at 10.5 T."
MMLU,college_chemistry,The anhydride of Ba(OH)2 is?,BaO.,BaO.,BaH2.; BaOH.; Ba.
MMLU,college_chemistry,A 1 M solution of TEMPO in chloroform at room temperature shows broader EPR spectrum than that of a 1 mM solution. Which sentence describes this phenomenon most accurately?,"in the more concentrated solution, the lines are broadened due to the exchange interaction between the TEMPO molecules.","in the more concentrated solution, the lines are broadened due to the exchange interaction between the TEMPO molecules.","in the more concentrated solution, the lines are broadened due to the dipole-dipole interaction between the TEMPO molecules.; in the more concentrated solution, the lines are broadened by the slow tumbling of TEMPO molecules.; in the more concentrated solution, the lines are broadened by the hyperfine interaction between the TEMPO molecules."
MMLU,college_chemistry,A set of hybrid sp^3 orbitals for a carbon atom is given above. Which of the following is NOT true about the orbitals?,Each hybrid orbital may hold four electrons.,Each hybrid orbital may hold four electrons.,The orbitals are degenerate.; The set of orbitals has a tetrahedral geometry.; These orbitals are constructed from a linear combination of atomic orbitals.
MMLU,college_computer_science,Sometimes the object module produced by a compiler includes information (from the symbol table) mapping all source program names to their addresses. The most likely purpose of this information is?,for use as input to a debugging aid.,for use as input to a debugging aid.,to increase the run-time efficiency of the program.; for the reduction of the symbol-table space needed by the compiler.; to tell the loader where each variable belongs.
MMLU,college_computer_science,"Suppose there is an open (external) hash table with four buckets, numbered 0,1,2,3, and integers are hashed into these buckets using hash function h(x) = x mod 4. If the sequence of perfect squares 1,4,9, ... , i^2, ... is hashed into the table, then, as the total number of entries in the table grows, what will happen?","Two of the buckets will each get approximately half the entries, and the other two will remain empty.","Two of the buckets will each get approximately half the entries, and the other two will remain empty.","All buckets will receive approximately the same number of entries.; All entries will go into one particular bucket.; All buckets will receive entries, but the difference between the buckets with smallest and largest number of entries will grow."
MMLU,college_computer_science,"Of the following page-replacement policies, which is guaranteed to incur the minimum number of page faults?",Replace the page whose next reference will be the longest time in the future.,Replace the page whose next reference will be the longest time in the future.,Replace the page whose next reference will be the shortest time in the future.; Replace the page whose most recent reference was the shortest time in the past.; Replace the page whose most recent reference was the longest time in the past.
MMLU,college_computer_science,Let f(X) = if x = 1 then 0 else [x * f(x - 1) + x**2]. The value of f(4) is?,100.,100.,53.; 29.; 50.
MMLU,college_computer_science,"Church's thesis equates the concept of ""computable function"" with those functions computable by, for example, Turing machines. Which of the following is true of Church's thesis?",It can never be proven.,It can never be proven.,"It was first proven by Alan Turing.; It has not yet been proven, but finding a proof is a subject of active research.; It is now in doubt because of the advent of parallel computers."
MMLU,college_computer_science,Which of the following statements is FALSE about memory reclamation based on reference counting?,Reference counting is well suited for reclaiming cyclic structures.,Reference counting is well suited for reclaiming cyclic structures.,Reference counting incurs additional space overhead for each memory cell.; Reference counting is an alternative to mark-and-sweep garbage collection.; Reference counting need not keep track of which cells point to other cells.
MMLU,college_computer_science,"Suppose it takes 1 second to factor a general 100 x 100 matrix using Gaussian elimination. Of the following, which is the best estimate of the number of seconds it will take to factor a 500 x 500 matrix based on the relative dimensions?",125.,125.,5.; 10.; 25.
MMLU,college_computer_science,The main difference between a network operating system and a distributed operating system is that?,"A distributed operating system hides the existence of many machines from the user, but a network operating system makes the existence of many machines visible.","A distributed operating system hides the existence of many machines from the user, but a network operating system makes the existence of many machines visible.","A network operating system hides the existence of many machines from the user, but a distributed operating system makes the existence of many machines visible.; A network operating system uses a local-area network, while a distributed operating system uses a wide-area network.; A distributed operating system uses a local-area network, while a network operating system uses a wide-area network."
MMLU,college_computer_science,"If L is a language accepted by some automaton M, which of the following is (are) true?
I. If M is a nondeterministic finite automaton, then L is accepted by some deterministic finite automaton.
II. If M is a deterministic pushdown automaton, then L is accepted by some nondeterministic pushdown automaton.
III. If M is a nondeterministic pushdown automaton, then L is accepted by some deterministic Turing machine.","I, II, and III.","I, II, and III.",III only.; I and II only.; II and III only.
MMLU,college_computer_science,"Consider the following possible data structures for a set of n distinct integers.
I. A min-heap
II. An array of length n sorted in increasing order
III. A balanced binary search tree
For which of these data structures is the number of steps needed to find and remove the 7th largest element O(log n) in the worst case?",II and III.,II and III.,I only.; II only.; I and II.
MMLU,college_computer_science,"Which of the following evaluation strategies must be defined in order to execute a logic program on a sequential machine?
I. Evaluation order of rules
II. Evaluation order of clauses
III. Evaluation order of arguments in each clause?","I, II, and III.","I, II, and III.",II only.; I and II only.; I and III only.
MMLU,college_mathematics,"If a polynomial f(x) over the real numbers has the complex numbers 2 + i and 1 - i as roots, then f(x) could be?",x^4 - 6x^3 + 15x^2 - 18x + 10.,x^4 - 6x^3 + 15x^2 - 18x + 10.,x^3 + 5x^2 + 4x + 1.; x^3 - x^2 + 4x + 1.; x^4 + 7x^2 + 10.
MMLU,college_mathematics,"What is the volume of the solid in xyz-space bounded by the surfaces y = x^2, y = 2 - x^2, z = 0, and z = y + 3?",32/3.,32/3.,8/3.; 16/3.; 104/105.
MMLU,college_mathematics,"Suppose A, B, and C are statements such that C is true if exactly one of A and B is true. If C is false, which of the following statements must be true?","If A is false, then B is false.","If A is false, then B is false.","If A is true, then B is false.; If A is false, then B is true.; Both A and B are true."
